model,lens,layer,metric,estimate,low,high
replicate,published,18,lesion_to_clean_norm_ratio,0.9444494247436523,0.9430487968027592,0.9469950199127197
replicate,published,18,clean_lesion_cosine,0.9627320170402527,0.9617108106613159,0.9637805819511414
replicate,published,19,clean_kurtosis,1.4822759628295898,1.4490947723388672,1.5891327857971191
replicate,published,19,lesion_kurtosis,1.2712030410766602,1.1940069198608398,1.3830857276916504
replicate,published,19,lesion_minus_clean_kurtosis,-0.22539854049682617,-0.3490285873413086,-0.1293344497680664
replicate,published,19,lesion_to_clean_norm_ratio,0.8802520632743835,0.8756449222564697,0.8843510746955872
replicate,published,19,clean_lesion_cosine,0.9214287400245667,0.9199984669685364,0.924286961555481
replicate,published,20,clean_kurtosis,1.351144790649414,1.277998447418213,1.7013964653015137
replicate,published,20,lesion_kurtosis,1.32688570022583,1.2390761375427246,1.4572031259536742
replicate,published,20,lesion_minus_clean_kurtosis,-0.15662574768066406,-0.3205035924911499,-0.03578758239746094
replicate,published,20,lesion_to_clean_norm_ratio,0.8657141923904419,0.8588917255401611,0.8746842741966248
replicate,published,20,clean_lesion_cosine,0.8903904557228088,0.8850298523902893,0.8938664197921753
replicate,published,21,clean_kurtosis,1.4244685173034668,1.3631820678710938,1.476475715637207
replicate,published,21,lesion_kurtosis,1.294344425201416,1.1664018630981445,1.3937745094299316
replicate,published,21,lesion_minus_clean_kurtosis,-0.13494348526000977,-0.2642782568931579,0.030357837677001953
replicate,published,21,lesion_to_clean_norm_ratio,0.8506441712379456,0.8475364446640015,0.8529466390609741
replicate,published,21,clean_lesion_cosine,0.8856217861175537,0.8803077936172485,0.8913949728012085
replicate,published,22,clean_kurtosis,1.8103814125061035,1.752246379852295,1.8810161411762236
replicate,published,22,lesion_kurtosis,1.4400262832641602,1.309929370880127,1.6358585357666016
replicate,published,22,lesion_minus_clean_kurtosis,-0.3452904224395752,-0.4015512466430664,-0.23221540451049805
replicate,published,22,lesion_to_clean_norm_ratio,0.8622961640357971,0.8572288155555725,0.868608832359314
replicate,published,22,clean_lesion_cosine,0.8878404498100281,0.8841231465339661,0.8935835957527161
replicate,own_fresh,16,clean_kurtosis,0.8420283794403076,0.8226962089538574,0.8653640747070312
replicate,own_fresh,16,lesion_kurtosis,0.6258797645568848,0.5897645950317383,0.6957112103700634
replicate,own_fresh,16,lesion_minus_clean_kurtosis,-0.2866377830505371,-0.35696613788604736,-0.18655571341514596
replicate,own_fresh,16,lesion_to_clean_norm_ratio,0.9942511320114136,0.9887254238128662,0.9946867823600769
replicate,own_fresh,16,clean_lesion_cosine,0.9925036430358887,0.9882466793060303,0.9932174384593964
replicate,own_fresh,18,clean_kurtosis,1.1649718284606934,1.1331291198730469,1.1957017421722411
replicate,own_fresh,18,lesion_kurtosis,1.1989874839782715,1.1453399658203125,1.2321155071258545
replicate,own_fresh,18,lesion_minus_clean_kurtosis,0.040660858154296875,-0.00850057601928711,0.0990595817565918
replicate,own_fresh,18,lesion_to_clean_norm_ratio,0.9439706206321716,0.9415482074022293,0.94674411714077
replicate,own_fresh,18,clean_lesion_cosine,0.9604097604751587,0.9592201113700867,0.9623730778694153
replicate,own_fresh,19,clean_kurtosis,1.4145660400390625,1.3684463500976562,1.652350902557373
replicate,own_fresh,19,lesion_kurtosis,1.054786205291748,1.0145998001098633,1.1487464904785156
replicate,own_fresh,19,lesion_minus_clean_kurtosis,-0.32952022552490234,-0.4400815963745117,-0.2645726203918457
replicate,own_fresh,19,lesion_to_clean_norm_ratio,0.8808854818344116,0.8782144784927368,0.8837559819221497
replicate,own_fresh,19,clean_lesion_cosine,0.9128976464271545,0.9111641645431519,0.915924608707428
replicate,own_fresh,20,clean_kurtosis,1.3766436576843262,1.286300528049469,1.9207220077514648
replicate,own_fresh,20,lesion_kurtosis,1.2137470245361328,1.139233112335205,1.3020105361938477
replicate,own_fresh,20,lesion_minus_clean_kurtosis,-0.3531639575958252,-0.5654330253601074,-0.14707565307617188
replicate,own_fresh,20,lesion_to_clean_norm_ratio,0.8668228983879089,0.8475533127784729,0.873180091381073
replicate,own_fresh,20,clean_lesion_cosine,0.8759768009185791,0.870366245508194,0.8834750950336456
replicate,own_fresh,21,clean_kurtosis,1.6131958961486816,1.4770536422729492,1.6657500267028809
replicate,own_fresh,21,lesion_kurtosis,1.0837516784667969,1.0215702056884766,1.149733066558838
replicate,own_fresh,21,lesion_minus_clean_kurtosis,-0.4682803153991699,-0.5667734146118164,-0.3027358055114746
replicate,own_fresh,21,lesion_to_clean_norm_ratio,0.8451406955718994,0.8431873917579651,0.8472067713737488
replicate,own_fresh,21,clean_lesion_cosine,0.8709313273429871,0.8638309679925442,0.8767669796943665
replicate,own_fresh,22,clean_kurtosis,2.0101542472839355,1.9297614097595215,2.0687642097473145
replicate,own_fresh,22,lesion_kurtosis,1.277348518371582,1.168581485748291,1.4327926635742188
replicate,own_fresh,22,lesion_minus_clean_kurtosis,-0.597198486328125,-0.6494688987731934,-0.535581696033478
replicate,own_fresh,22,lesion_to_clean_norm_ratio,0.8485780954360962,0.8446698188781738,0.8561406336724758
replicate,own_fresh,22,clean_lesion_cosine,0.8730601072311401,0.867073655128479,0.8821135759353638
