model,lens,layer,source_id,country_id,clean_kurtosis,clean_lesion_cosine,clean_residual_norm,lesion_kurtosis,lesion_minus_clean_kurtosis,lesion_residual_norm,lesion_to_clean_norm_ratio
base,published,20,sa-currency-t1,SA,1.4858794212341309,0.8773206472396851,17.651216506958008,0.5922207832336426,-0.8936586380004883,14.73166275024414,0.8345975875854492
base,published,20,sa-currency-t2,SA,1.2756738662719727,0.8933266401290894,16.92669677734375,0.9698777198791504,-0.30579614639282227,14.39879035949707,0.8506556749343872
base,published,20,sa-currency-t3,SA,1.81032133102417,0.8770224452018738,16.562095642089844,0.7294957637786865,-1.0808255672454834,14.11418628692627,0.85219806432724
base,published,20,sk-region-t2,SK,2.130087375640869,0.8882906436920166,16.77683448791504,1.0538558959960938,-1.0762314796447754,14.394575119018555,0.8580030202865601
base,published,20,sy-capital-t0,SY,1.6211485862731934,0.8952884674072266,16.32703971862793,1.31781005859375,-0.30333852767944336,13.524031639099121,0.828321099281311
base,published,20,sy-capital-t1,SY,1.8738360404968262,0.8983603715896606,17.02666664123535,1.4059085845947266,-0.4679274559020996,13.926451683044434,0.8179200291633606
base,published,20,sy-capital-t2,SY,1.7843189239501953,0.8862029314041138,16.280475616455078,1.2361431121826172,-0.5481758117675781,13.543978691101074,0.8319154381752014
base,published,20,sy-capital-t3,SY,1.540787696838379,0.8906974196434021,16.347997665405273,1.1514496803283691,-0.38933801651000977,13.499189376831055,0.8257396221160889
base,published,20,td-region-t0,TD,1.9642133712768555,0.9165759682655334,18.093639373779297,0.564150333404541,-1.4000630378723145,15.228639602661133,0.8416571021080017
base,published,20,td-region-t1,TD,2.5423431396484375,0.8954602479934692,17.678693771362305,1.0326862335205078,-1.5096569061279297,15.062518119812012,0.8520153164863586
base,published,20,td-region-t2,TD,2.2533955574035645,0.891608715057373,17.04802131652832,1.21632719039917,-1.0370683670043945,14.596165657043457,0.8561794757843018
base,published,20,xk-region-t1,XK,2.5225601196289062,0.8995659351348877,17.763364791870117,1.247645378112793,-1.2749147415161133,15.288421630859375,0.8606714606285095
base,published,20,xk-region-t2,XK,2.2401576042175293,0.8887025117874146,16.910728454589844,1.301023006439209,-0.9391345977783203,14.516971588134766,0.8584474325180054
base,published,20,af-capital-t0,AF,1.7480897903442383,0.8864468336105347,16.097307205200195,1.358360767364502,-0.38972902297973633,13.463361740112305,0.836373507976532
base,published,20,al-region-t1,AL,2.5048117637634277,0.8966517448425293,17.749452590942383,1.074512004852295,-1.4302997589111328,15.112951278686523,0.8514601588249207
base,published,20,al-region-t2,AL,2.148707866668701,0.8954373598098755,16.934694290161133,0.8696608543395996,-1.2790470123291016,14.582124710083008,0.8610798716545105
base,published,20,at-capital-t0,AT,1.47206449508667,0.8884810209274292,16.466928482055664,0.8923904895782471,-0.5796740055084229,13.930736541748047,0.8459826707839966
base,published,20,at-capital-t2,AT,1.5549359321594238,0.8980261087417603,16.409536361694336,1.0545425415039062,-0.5003933906555176,13.655927658081055,0.8321946263313293
base,published,20,at-capital-t3,AT,1.3938512802124023,0.8923003673553467,16.345327377319336,1.0712342262268066,-0.3226170539855957,13.752741813659668,0.8413867354393005
base,published,20,at-currency-t0,AT,1.2148308753967285,0.8769339323043823,16.529178619384766,0.9157483577728271,-0.29908251762390137,14.12218952178955,0.854379415512085
base,published,20,at-currency-t1,AT,1.3568987846374512,0.886398434638977,17.288532257080078,0.5695219039916992,-0.787376880645752,14.501907348632812,0.8388165831565857
base,published,20,at-currency-t2,AT,1.2800002098083496,0.9074941873550415,16.39203453063965,0.8592691421508789,-0.4207310676574707,13.916632652282715,0.8489875197410583
base,published,20,at-currency-t3,AT,1.5555877685546875,0.878543496131897,16.566822052001953,0.8003208637237549,-0.7552669048309326,14.298823356628418,0.8630999326705933
base,published,20,at-region-t1,AT,2.496642589569092,0.9005054831504822,17.83649444580078,1.1129980087280273,-1.3836445808410645,15.288329124450684,0.8571375608444214
base,published,20,at-region-t2,AT,2.3172526359558105,0.8866588473320007,16.958789825439453,1.1861495971679688,-1.1311030387878418,14.517221450805664,0.8560293316841125
base,published,20,bi-region-t0,BI,2.0326733589172363,0.9059005379676819,17.94510269165039,0.5771420001983643,-1.455531358718872,14.889437675476074,0.8297215104103088
base,published,20,bi-region-t1,BI,2.450026035308838,0.8936586976051331,17.646005630493164,0.9891424179077148,-1.460883617401123,15.043084144592285,0.8524923324584961
base,published,20,bi-region-t2,BI,2.309077739715576,0.8895502090454102,17.113130569458008,1.170145034790039,-1.138932704925537,14.474621772766113,0.8458196520805359
base,published,20,bi-region-t3,BI,2.073977470397949,0.9074698090553284,18.180753707885742,0.7203099727630615,-1.3536674976348877,15.307965278625488,0.8419873714447021
base,published,20,ci-region-t0,CI,2.0212764739990234,0.8844389915466309,18.11825180053711,0.9827914237976074,-1.038485050201416,14.995917320251465,0.827669084072113
base,published,20,ci-region-t1,CI,2.5141916275024414,0.8955602049827576,17.86667823791504,1.0432085990905762,-1.4709830284118652,15.172751426696777,0.8492206335067749
base,published,20,ci-region-t2,CI,2.429612636566162,0.9113297462463379,17.28587532043457,0.9799737930297852,-1.449638843536377,14.926708221435547,0.8635205030441284
base,published,20,ci-region-t3,CI,2.0266342163085938,0.9074012041091919,18.281681060791016,0.8197972774505615,-1.2068369388580322,15.401984214782715,0.8424818515777588
base,published,20,cz-capital-t0,CZ,1.5440173149108887,0.886320173740387,16.176008224487305,1.1093368530273438,-0.4346804618835449,13.292418479919434,0.8217366337776184
base,published,20,cz-capital-t1,CZ,1.7641968727111816,0.8917673826217651,16.84102439880371,1.3616738319396973,-0.4025230407714844,13.705586433410645,0.8138214349746704
base,published,20,cz-capital-t2,CZ,1.5445408821105957,0.8986673355102539,16.316417694091797,1.0499672889709473,-0.49457359313964844,13.499288558959961,0.8273438811302185
base,published,20,cz-region-t2,CZ,2.2984461784362793,0.9138343334197998,16.928882598876953,0.7912673950195312,-1.507178783416748,14.628371238708496,0.8641073107719421
base,published,20,gn-region-t1,GN,2.4201035499572754,0.9006422758102417,17.69139289855957,1.024033546447754,-1.3960700035095215,15.205231666564941,0.8594706058502197
base,published,20,gn-region-t2,GN,2.130850315093994,0.8911297917366028,17.010387420654297,0.8510580062866211,-1.279792308807373,14.726580619812012,0.8657404780387878
base,published,20,gq-region-t1,GQ,2.2042078971862793,0.8989094495773315,17.813369750976562,1.0466423034667969,-1.1575655937194824,15.216289520263672,0.8542061448097229
base,published,20,iq-capital-t0,IQ,1.5146994590759277,0.8867284655570984,15.941411018371582,1.224879264831543,-0.28982019424438477,13.402813911437988,0.8407545685768127
base,published,20,iq-capital-t1,IQ,1.8445382118225098,0.8906490802764893,16.834123611450195,1.5866913795471191,-0.2578468322753906,13.790628433227539,0.8192067742347717
base,published,20,iq-capital-t2,IQ,1.6317219734191895,0.8890789747238159,16.161754608154297,1.3011889457702637,-0.3305330276489258,13.589985847473145,0.8408731818199158
base,published,20,ke-capital-t0,KE,1.7818522453308105,0.9067726135253906,16.57816505432129,1.4464893341064453,-0.33536291122436523,13.968663215637207,0.8425940275192261
base,published,20,ke-capital-t1,KE,1.975229263305664,0.8865783214569092,17.199403762817383,1.7100353240966797,-0.2651939392089844,14.060172080993652,0.817480206489563
base,published,20,ke-capital-t2,KE,1.8054819107055664,0.8985165953636169,16.2364501953125,1.5118060111999512,-0.29367589950561523,13.45182991027832,0.8284957408905029
base,published,20,ke-capital-t3,KE,1.725022315979004,0.8931305408477783,16.478527069091797,1.2017130851745605,-0.5233092308044434,13.760510444641113,0.8350570797920227
base,published,20,ke-region-t0,KE,2.073151111602783,0.9035826921463013,18.15346336364746,0.6197142601013184,-1.4534368515014648,15.141205787658691,0.8340670466423035
base,published,20,ke-region-t1,KE,2.6713647842407227,0.8962053656578064,17.701879501342773,1.2991752624511719,-1.3721895217895508,15.060752868652344,0.8507996201515198
base,published,20,ke-region-t2,KE,2.370164394378662,0.8900660872459412,17.210126876831055,1.2417726516723633,-1.1283917427062988,14.668686866760254,0.8523287773132324
